participant,trial,trial_role,has_bandpass_emg,include_reference,include_training,include_prediction,include_primary_reporting,include_cycling_crank_cycle_metrics,include_noncycling_task_metrics,cycling_training_eligible,nl_external_evaluation
C03,trial_ffc10db23f,cycling_primary,True,True,True,True,True,True,False,True,False
C03,trial_f1bf10eeea,cycling_primary,True,True,True,True,True,True,False,True,False
C03,trial_87e976b769,cycling_primary,True,True,True,True,True,True,False,True,False
C03,trial_b4af0473c9,cycling_primary,True,True,True,True,True,True,False,True,False
C03,trial_5946ca5426,cycling_primary,True,True,True,True,True,True,False,True,False
C03,trial_49b3331954,cycling_primary,True,True,True,True,True,True,False,True,False
C03,trial_1adae32589,cycling_primary,True,True,True,True,True,True,False,True,False
C03,trial_e8cee506fd,cycling_primary,True,True,True,True,True,True,False,True,False
C03,trial_8cb2e8b62d,cycling_primary,True,True,True,True,True,True,False,True,False
C03,trial_9f813fbdc4,cycling_primary,True,True,True,True,True,True,False,True,False
C03,trial_08e1325ec2,cycling_primary,True,True,True,True,True,True,False,True,False
C03,trial_9da6560057,cycling_primary,True,True,True,True,True,True,False,True,False
C03,trial_6e22cfc8f7,cycling_primary,True,True,True,True,True,True,False,True,False
C03,trial_a11b0b087c,cycling_primary,True,True,True,True,True,True,False,True,False
C03,trial_2723563132,cycling_primary,True,True,True,True,True,True,False,True,False
C03,trial_a76018c70a,cycling_primary,True,True,True,True,True,True,False,True,False
C03,trial_29d57eee5a,cycling_primary,True,True,True,True,True,True,False,True,False
C03,trial_a88f4ef7a5,cycling_cmj_augmentation,True,True,True,False,False,False,False,True,False
C03,trial_78cba2c582,cycling_cmj_augmentation,True,True,True,False,False,False,False,True,False
C03,trial_13bd18cdf3,cycling_cmj_augmentation,True,True,True,False,False,False,False,True,False
C04,trial_ffc10db23f,cycling_primary,True,True,True,True,True,True,False,True,False
C04,trial_f1bf10eeea,cycling_primary,True,True,True,True,True,True,False,True,False
C04,trial_87e976b769,cycling_primary,True,True,True,True,True,True,False,True,False
C04,trial_b4af0473c9,cycling_primary,True,True,True,True,True,True,False,True,False
C04,trial_5946ca5426,cycling_primary,True,True,True,True,True,True,False,True,False
C04,trial_49b3331954,cycling_primary,True,True,True,True,True,True,False,True,False
C04,trial_1adae32589,cycling_primary,True,True,True,True,True,True,False,True,False
C04,trial_e8cee506fd,cycling_primary,True,True,True,True,True,True,False,True,False
C04,trial_8cb2e8b62d,cycling_primary,True,True,True,True,True,True,False,True,False
C04,trial_9f813fbdc4,cycling_primary,True,True,True,True,True,True,False,True,False
C04,trial_08e1325ec2,cycling_primary,True,True,True,True,True,True,False,True,False
C04,trial_9da6560057,cycling_primary,True,True,True,True,True,True,False,True,False
C04,trial_ed081649a1,cycling_primary,True,True,True,True,True,True,False,True,False
C04,trial_a11b0b087c,cycling_primary,True,True,True,True,True,True,False,True,False
C04,trial_2723563132,cycling_primary,True,True,True,True,True,True,False,True,False
C04,trial_a76018c70a,cycling_primary,True,True,True,True,True,True,False,True,False
C04,trial_29d57eee5a,cycling_primary,True,True,True,True,True,True,False,True,False
C04,trial_a88f4ef7a5,cycling_cmj_augmentation,True,True,True,False,False,False,False,True,False
C04,trial_78cba2c582,cycling_cmj_augmentation,True,True,True,False,False,False,False,True,False
C04,trial_13bd18cdf3,cycling_cmj_augmentation,True,True,True,False,False,False,False,True,False
C05,trial_ffc10db23f,cycling_primary,True,True,True,True,True,True,False,True,False
C05,trial_f1bf10eeea,cycling_primary,True,True,True,True,True,True,False,True,False
C05,trial_87e976b769,cycling_primary,True,True,True,True,True,True,False,True,False
C05,trial_b4af0473c9,cycling_primary,True,True,True,True,True,True,False,True,False
C05,trial_5946ca5426,cycling_primary,True,True,True,True,True,True,False,True,False
C05,trial_49b3331954,cycling_primary,True,True,True,True,True,True,False,True,False
C05,trial_1adae32589,cycling_primary,True,True,True,True,True,True,False,True,False
C05,trial_e8cee506fd,cycling_primary,True,True,True,True,True,True,False,True,False
C05,trial_8cb2e8b62d,cycling_primary,True,True,True,True,True,True,False,True,False
C05,trial_9f813fbdc4,cycling_primary,True,True,True,True,True,True,False,True,False
C05,trial_08e1325ec2,cycling_primary,True,True,True,True,True,True,False,True,False
C05,trial_9da6560057,cycling_primary,True,True,True,True,True,True,False,True,False
C05,trial_6e22cfc8f7,cycling_primary,True,True,True,True,True,True,False,True,False
C05,trial_a11b0b087c,cycling_primary,True,True,True,True,True,True,False,True,False
C05,trial_2723563132,cycling_primary,True,True,True,True,True,True,False,True,False
C05,trial_a76018c70a,cycling_primary,True,True,True,True,True,True,False,True,False
C05,trial_29d57eee5a,cycling_primary,True,True,True,True,True,True,False,True,False
C05,trial_a88f4ef7a5,cycling_cmj_augmentation,True,True,True,False,False,False,False,True,False
C05,trial_78cba2c582,cycling_cmj_augmentation,True,True,True,False,False,False,False,True,False
C05,trial_13bd18cdf3,cycling_cmj_augmentation,True,True,True,False,False,False,False,True,False
C06,trial_ffc10db23f,cycling_primary,True,True,True,True,True,True,False,True,False
C06,trial_f1bf10eeea,cycling_primary,True,True,True,True,True,True,False,True,False
C06,trial_87e976b769,cycling_primary,True,True,True,True,True,True,False,True,False
C06,trial_b4af0473c9,cycling_primary,True,True,True,True,True,True,False,True,False
C06,trial_5946ca5426,cycling_primary,True,True,True,True,True,True,False,True,False
C06,trial_49b3331954,cycling_primary,True,True,True,True,True,True,False,True,False
C06,trial_1adae32589,cycling_primary,True,True,True,True,True,True,False,True,False
C06,trial_e8cee506fd,cycling_primary,True,True,True,True,True,True,False,True,False
C06,trial_8cb2e8b62d,cycling_primary,True,True,True,True,True,True,False,True,False
C06,trial_9f813fbdc4,cycling_primary,True,True,True,True,True,True,False,True,False
C06,trial_08e1325ec2,cycling_primary,True,True,True,True,True,True,False,True,False
C06,trial_9da6560057,cycling_primary,True,True,True,True,True,True,False,True,False
C06,trial_6e22cfc8f7,cycling_primary,True,True,True,True,True,True,False,True,False
C06,trial_a11b0b087c,cycling_primary,True,True,True,True,True,True,False,True,False
C06,trial_2723563132,cycling_primary,True,True,True,True,True,True,False,True,False
C06,trial_383f3f50f6,cycling_primary,True,True,True,True,True,True,False,True,False
C06,trial_cc14520c6b,cycling_primary,True,True,True,True,True,True,False,True,False
C06,trial_eef4aab155,cycling_cmj_augmentation,True,True,True,False,False,False,False,True,False
C06,trial_56af8361a5,cycling_cmj_augmentation,True,True,True,False,False,False,False,True,False
C06,trial_9316b4a838,cycling_cmj_augmentation,True,True,True,False,False,False,False,True,False
E01,trial_d6bb70f49a,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
E01,trial_7e55c5f6e3,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
E01,trial_de2a591302,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
E01,trial_4f0f71b3be,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
E01,trial_11bc7243f0,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
E01,trial_eb54fd20d1,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
E01,trial_5f81779e66,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
E01,trial_d357155ad0,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
E01,trial_aa6d2fe330,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_be0d27dc9a,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_9a0e617132,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_e006f3e94d,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_3e6e1e7f43,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_647f173af6,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_c0465e0e2c,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_c5af6cd2cd,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_c9693aa92e,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_4ac81fef09,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_ce6818a4df,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_63f095458b,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_bcfe7b1b43,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_08b3737c7b,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_2f03d820f8,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_d37d15ab9d,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_32215972af,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_8faeb71d49,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_a528b92d9d,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_b341aa6d95,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_f71c286b07,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_fa5273e7a1,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_4d068ec7e2,nl_mvic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_f562d2ebd1,nl_mvic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_838d11a184,nl_mvic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_776663e68b,nl_mvic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_9ffa8aa1cc,nl_mvic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_39cacd8f52,nl_mvic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_c63c370cd4,nl_mvic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_18196d4421,nl_mvic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_2ded8b6134,nl_mvic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_988189a110,nl_mvic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_65165c937d,nl_mvic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_95e0b842f2,nl_mvic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_fd85e07611,nl_mvic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_97660e2588,nl_mvic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_e7e5564c91,nl_mvic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_2bf9c576e6,nl_mvic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_eb8fd29f83,nl_mvic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_a4aac3f6f6,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
E01,trial_4907257fb9,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
E01,trial_eece34b1e1,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
E01,trial_c1a5c449bf,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
E01,trial_0a182abac1,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
E01,trial_80825c7147,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
E01,trial_a633ca6886,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
E01,trial_d303051e41,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_912e70863f,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_34752379b8,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_d672ad8e02,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_a435fc9b96,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_cceba9c44c,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_215064429e,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_02897adfbd,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_ce7bc47497,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_b04ff1cda0,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_46b65c0803,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_1f48577742,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_48ccade3e9,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_ebf23d622c,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_71fb5e093d,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_8eca807cc9,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_e0acef36b9,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_40fd31d224,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_1dda902697,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_0367f40693,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_a255433148,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_a83539940f,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_cb70159121,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_103d019947,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_6b68b4b170,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_8d54ad4b46,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_4042e5968a,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_0fc971c76e,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_bf25291ee3,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_940c208e39,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_5bb1cc9b72,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_d7e5f2a490,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_4a27f4b0ea,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_486aa02e2d,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_f9d1ab7410,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_f101b7cbef,nl_dynamic_augmentation,True,True,False,False,False,False,False,False,False
E01,trial_f2c007e375,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
E01,trial_aef43817d1,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
E01,trial_7236c89239,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
E01,trial_251a4996ff,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
E01,trial_fe4e55bdf0,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
E01,trial_b1960cef10,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
E01,trial_207f4e9f7f,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
E01,trial_d9e46292f4,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
E01,trial_a498ab7abc,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
E01,trial_07c5a60672,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
E01,trial_f086b95975,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
E01,trial_5c17165232,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
E01,trial_be98b67520,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
E01,trial_5e0dca4081,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
E01,trial_546179084f,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
E01,trial_277abff0d8,nl_dynamic_augmentation,True,True,False,True,True,False,True,False,True
C07,trial_2d8fda059c,cycling_primary,True,True,True,True,True,True,False,True,False
C07,trial_91cbbc0bef,cycling_primary,True,True,True,True,True,True,False,True,False
C07,trial_236590d739,cycling_primary,True,True,True,True,True,True,False,True,False
C07,trial_b4af0473c9,cycling_primary,True,True,True,True,True,True,False,True,False
C07,trial_5946ca5426,cycling_primary,True,True,True,True,True,True,False,True,False
C07,trial_49b3331954,cycling_primary,True,True,True,True,True,True,False,True,False
C07,trial_1adae32589,cycling_primary,True,True,True,True,True,True,False,True,False
C07,trial_e8cee506fd,cycling_primary,True,True,True,True,True,True,False,True,False
C07,trial_8cb2e8b62d,cycling_primary,True,True,True,True,True,True,False,True,False
C07,trial_9f813fbdc4,cycling_primary,True,True,True,True,True,True,False,True,False
C07,trial_08e1325ec2,cycling_primary,True,True,True,True,True,True,False,True,False
C07,trial_9da6560057,cycling_primary,True,True,True,True,True,True,False,True,False
C07,trial_6e22cfc8f7,cycling_primary,True,True,True,True,True,True,False,True,False
C07,trial_a11b0b087c,cycling_primary,True,True,True,True,True,True,False,True,False
C07,trial_2723563132,cycling_primary,True,True,True,True,True,True,False,True,False
C07,trial_a76018c70a,cycling_primary,True,True,True,True,True,True,False,True,False
C07,trial_29d57eee5a,cycling_primary,True,True,True,True,True,True,False,True,False
C07,trial_eef4aab155,cycling_cmj_augmentation,True,True,True,False,False,False,False,True,False
C07,trial_56af8361a5,cycling_cmj_augmentation,True,True,True,False,False,False,False,True,False
C07,trial_9316b4a838,cycling_cmj_augmentation,True,True,True,False,False,False,False,True,False
