participant,trial,trial_role,include_reference_normalisation,include_model_training,include_primary_reporting,external_primary_evaluation
C02,trial_08e1325ec2,cycling_primary,True,True,True,False
C02,trial_9da6560057,cycling_primary,True,True,True,False
C02,trial_6e22cfc8f7,cycling_primary,True,True,True,False
C02,trial_a11b0b087c,cycling_primary,True,True,True,False
C02,trial_2723563132,cycling_primary,True,True,True,False
C02,trial_a76018c70a,cycling_primary,True,True,True,False
C02,trial_29d57eee5a,cycling_primary,True,True,True,False
C02,trial_eef4aab155,cycling_cmj_augmentation,True,True,False,False
C02,trial_56af8361a5,cycling_cmj_augmentation,True,True,False,False
C02,trial_9316b4a838,cycling_cmj_augmentation,True,True,False,False
C02,trial_ffc10db23f,cycling_primary,True,True,True,False
C02,trial_f1bf10eeea,cycling_primary,True,True,True,False
C02,trial_87e976b769,cycling_primary,True,True,True,False
C02,trial_b4af0473c9,cycling_primary,True,True,True,False
C02,trial_10e1b3b7fd,cycling_primary,True,True,True,False
C02,trial_49b3331954,cycling_primary,True,True,True,False
C03,trial_1adae32589,cycling_primary,True,True,True,False
C03,trial_e8cee506fd,cycling_primary,True,True,True,False
C03,trial_8cb2e8b62d,cycling_primary,True,True,True,False
C03,trial_9f813fbdc4,cycling_primary,True,True,True,False
C03,trial_08e1325ec2,cycling_primary,True,True,True,False
C03,trial_9da6560057,cycling_primary,True,True,True,False
C03,trial_6e22cfc8f7,cycling_primary,True,True,True,False
C03,trial_a11b0b087c,cycling_primary,True,True,True,False
C03,trial_2723563132,cycling_primary,True,True,True,False
C03,trial_a76018c70a,cycling_primary,True,True,True,False
C03,trial_29d57eee5a,cycling_primary,True,True,True,False
C03,trial_a88f4ef7a5,cycling_cmj_augmentation,True,True,False,False
C03,trial_78cba2c582,cycling_cmj_augmentation,True,True,False,False
C03,trial_13bd18cdf3,cycling_cmj_augmentation,True,True,False,False
C03,trial_ffc10db23f,cycling_primary,True,True,True,False
C03,trial_f1bf10eeea,cycling_primary,True,True,True,False
C03,trial_87e976b769,cycling_primary,True,True,True,False
C03,trial_b4af0473c9,cycling_primary,True,True,True,False
C03,trial_5946ca5426,cycling_primary,True,True,True,False
C03,trial_49b3331954,cycling_primary,True,True,True,False
C04,trial_1adae32589,cycling_primary,True,True,True,False
C04,trial_e8cee506fd,cycling_primary,True,True,True,False
C04,trial_8cb2e8b62d,cycling_primary,True,True,True,False
C04,trial_9f813fbdc4,cycling_primary,True,True,True,False
C04,trial_08e1325ec2,cycling_primary,True,True,True,False
C04,trial_9da6560057,cycling_primary,True,True,True,False
C04,trial_ed081649a1,cycling_primary,True,True,True,False
C04,trial_a11b0b087c,cycling_primary,True,True,True,False
C04,trial_2723563132,cycling_primary,True,True,True,False
C04,trial_a76018c70a,cycling_primary,True,True,True,False
C04,trial_29d57eee5a,cycling_primary,True,True,True,False
C04,trial_a88f4ef7a5,cycling_cmj_augmentation,True,True,False,False
C04,trial_78cba2c582,cycling_cmj_augmentation,True,True,False,False
C04,trial_13bd18cdf3,cycling_cmj_augmentation,True,True,False,False
C04,trial_ffc10db23f,cycling_primary,True,True,True,False
C04,trial_f1bf10eeea,cycling_primary,True,True,True,False
C04,trial_87e976b769,cycling_primary,True,True,True,False
C04,trial_b4af0473c9,cycling_primary,True,True,True,False
C04,trial_5946ca5426,cycling_primary,True,True,True,False
C04,trial_49b3331954,cycling_primary,True,True,True,False
C05,trial_1adae32589,cycling_primary,True,True,True,False
C05,trial_e8cee506fd,cycling_primary,True,True,True,False
C05,trial_8cb2e8b62d,cycling_primary,True,True,True,False
C05,trial_9f813fbdc4,cycling_primary,True,True,True,False
C05,trial_08e1325ec2,cycling_primary,True,True,True,False
C05,trial_9da6560057,cycling_primary,True,True,True,False
C05,trial_6e22cfc8f7,cycling_primary,True,True,True,False
C05,trial_a11b0b087c,cycling_primary,True,True,True,False
C05,trial_2723563132,cycling_primary,True,True,True,False
C05,trial_a76018c70a,cycling_primary,True,True,True,False
C05,trial_29d57eee5a,cycling_primary,True,True,True,False
C05,trial_a88f4ef7a5,cycling_cmj_augmentation,True,True,False,False
C05,trial_78cba2c582,cycling_cmj_augmentation,True,True,False,False
C05,trial_13bd18cdf3,cycling_cmj_augmentation,True,True,False,False
C05,trial_ffc10db23f,cycling_primary,True,True,True,False
C05,trial_f1bf10eeea,cycling_primary,True,True,True,False
C05,trial_87e976b769,cycling_primary,True,True,True,False
C05,trial_b4af0473c9,cycling_primary,True,True,True,False
C05,trial_5946ca5426,cycling_primary,True,True,True,False
C05,trial_49b3331954,cycling_primary,True,True,True,False
C06,trial_1adae32589,cycling_primary,True,True,True,False
C06,trial_e8cee506fd,cycling_primary,True,True,True,False
C06,trial_8cb2e8b62d,cycling_primary,True,True,True,False
C06,trial_9f813fbdc4,cycling_primary,True,True,True,False
C06,trial_08e1325ec2,cycling_primary,True,True,True,False
C06,trial_9da6560057,cycling_primary,True,True,True,False
C06,trial_6e22cfc8f7,cycling_primary,True,True,True,False
C06,trial_a11b0b087c,cycling_primary,True,True,True,False
C06,trial_2723563132,cycling_primary,True,True,True,False
C06,trial_383f3f50f6,cycling_primary,True,True,True,False
C06,trial_cc14520c6b,cycling_primary,True,True,True,False
C06,trial_eef4aab155,cycling_cmj_augmentation,True,True,False,False
C06,trial_56af8361a5,cycling_cmj_augmentation,True,True,False,False
C06,trial_9316b4a838,cycling_cmj_augmentation,True,True,False,False
C06,trial_ffc10db23f,cycling_primary,True,True,True,False
C06,trial_f1bf10eeea,cycling_primary,True,True,True,False
C06,trial_87e976b769,cycling_primary,True,True,True,False
C06,trial_b4af0473c9,cycling_primary,True,True,True,False
C06,trial_5946ca5426,cycling_primary,True,True,True,False
C06,trial_49b3331954,cycling_primary,True,True,True,False
C07,trial_1adae32589,cycling_primary,True,True,True,False
C07,trial_e8cee506fd,cycling_primary,True,True,True,False
C07,trial_8cb2e8b62d,cycling_primary,True,True,True,False
C07,trial_9f813fbdc4,cycling_primary,True,True,True,False
C07,trial_08e1325ec2,cycling_primary,True,True,True,False
C07,trial_9da6560057,cycling_primary,True,True,True,False
C07,trial_6e22cfc8f7,cycling_primary,True,True,True,False
C07,trial_a11b0b087c,cycling_primary,True,True,True,False
C07,trial_2723563132,cycling_primary,True,True,True,False
C07,trial_a76018c70a,cycling_primary,True,True,True,False
C07,trial_29d57eee5a,cycling_primary,True,True,True,False
C07,trial_eef4aab155,cycling_cmj_augmentation,True,True,False,False
C07,trial_56af8361a5,cycling_cmj_augmentation,True,True,False,False
C07,trial_9316b4a838,cycling_cmj_augmentation,True,True,False,False
C07,trial_2d8fda059c,cycling_primary,True,True,True,False
C07,trial_91cbbc0bef,cycling_primary,True,True,True,False
C07,trial_236590d739,cycling_primary,True,True,True,False
C07,trial_b4af0473c9,cycling_primary,True,True,True,False
C07,trial_5946ca5426,cycling_primary,True,True,True,False
C07,trial_49b3331954,cycling_primary,True,True,True,False
